iter	RMSE
249	0.2302975034
250	0.2300407593
251	0.2297955542
252	0.2297526714
253	0.2293119887
254	0.2288557543
255	0.2287401423
256	0.2283687735
257	0.227977815
258	0.2275673632
259	0.227282253
260	0.2269968404
261	0.2267625809
262	0.2264763925
263	0.2261577796
264	0.225816407
265	0.2254951321
266	0.2253237836
267	0.2249045476
268	0.2245851239
269	0.2242287152
270	0.2238049769
271	0.2236439081
272	0.2234116898
273	0.2232060443
274	0.2228567509
275	0.2225182822
276	0.2221438565
277	0.221570743
278	0.221354574
279	0.2210560367
280	0.2203880621
281	0.220150726
282	0.2198763872
283	0.2195144974
284	0.2192065016
285	0.2190653571
286	0.2186736327
287	0.2185081728
288	0.218233361
289	0.2178883675
290	0.2173585966
291	0.2170693713
292	0.2170063117
293	0.2165065523
294	0.2163213719
295	0.216148027
296	0.2158695228
297	0.2155019246
298	0.2150964552
299	0.2148007342
300	0.2143476539
301	0.2140029213
302	0.2137053076
303	0.2133132054
304	0.2131730573
305	0.2127977474
306	0.2124938673
307	0.2122571568
308	0.2118680287
309	0.2116586397
310	0.2112612147
311	0.2111797783
312	0.2109566511
313	0.2107080921
314	0.2104218763
315	0.2100858687
316	0.2097840962
317	0.2094546455
318	0.2090308202
319	0.2087855136
320	0.2085314675
321	0.2081261847
322	0.2077283831
323	0.2073605761
324	0.2070211868
325	0.2066465501
326	0.2064957225
327	0.2062739843
328	0.2060713657
329	0.2058152936
330	0.2056424419
331	0.2052036515
332	0.2051620089
333	0.2049965076
334	0.2048660874
335	0.2045357899
336	0.2044582668
337	0.2040130573
338	0.203710799
339	0.2035598633
340	0.2034963046
341	0.2031988178
342	0.2027956732
343	0.2026339022
344	0.2025298167
345	0.2024058256
346	0.2019777867
347	0.201732588
348	0.2015328328
349	0.2013469027
350	0.2012527144
351	0.2008957547
352	0.2008091055
353	0.2004224108
354	0.2003719491
355	0.2001005988
356	0.1998078874
357	0.1993312337
358	0.1991188073
359	0.1990337322
360	0.1985237523
361	0.1982584184
362	0.1981766065
363	0.1979327122
364	0.1974916112
365	0.1971288743
366	0.1967750778
367	0.1964139677
368	0.1961365097
369	0.1958445009
370	0.195434759
371	0.1950141716
372	0.1948356436
373	0.1947012089
374	0.1943768518
375	0.1941668366
376	0.1937791497
377	0.1935831619
378	0.1933935393
379	0.1931705417
380	0.1930651615
381	0.1930419181
382	0.1930193005
383	0.1925103937
384	0.1921344307
385	0.1917404076
386	0.1914133436
387	0.1913130051
388	0.1909593003
389	0.1906377995
390	0.1904281077
391	0.1903059456
392	0.1899869832
393	0.1896806102
394	0.1893767704
395	0.1893421415
396	0.1891496454
397	0.1889176755
398	0.1887952241
399	0.1884835793
400	0.188241087
401	0.1878829883
402	0.1876095446
403	0.1872356189
404	0.1868715059
405	0.1866302286
406	0.1863530659
407	0.1860646262
408	0.1859327741
409	0.1856552738
410	0.1852627385
411	0.1852424654
412	0.1850175822
413	0.1847238663
414	0.1844363236
415	0.1844006662
416	0.1840899855
417	0.1838128598
418	0.1836706301
419	0.1833530475
420	0.1830063423
421	0.1826974751
422	0.1823335391
423	0.1821433973
424	0.1820116203
425	0.181819738
426	0.1814610525
427	0.1812224581
428	0.1811563574
429	0.1810033577
430	0.1807511446
431	0.180477718
432	0.1804466235
433	0.1803127639
434	0.1802872005
435	0.1801281661
436	0.1798148239
437	0.179568998
438	0.1792680969
439	0.17894578
440	0.1786991378
441	0.1784266644
442	0.1781403231
443	0.1779290105
444	0.177728952
445	0.1775583977
446	0.1774192745
447	0.1771604925
448	0.1769092258
449	0.1766795161
450	0.176419436
451	0.1761837071
452	0.1758773218
453	0.1756369733
454	0.1752080075
455	0.1748865131
456	0.1746863796
457	0.1744529281
458	0.1742073111
459	0.1739068431
460	0.1735965789
461	0.1732661911
462	0.1731399788
463	0.1729783902
464	0.1727025116
465	0.1723884513
466	0.1720988622
467	0.1718084548
468	0.1717631997
469	0.1715745972
470	0.1713236489
471	0.1710713568
472	0.1708181655
473	0.1705456163
474	0.1702031578
475	0.1700591875
476	0.1697414088
477	0.1694715281
478	0.1691427784
479	0.1688087801
480	0.1686172689
481	0.1683616827
482	0.1681047847
483	0.1679629762
484	0.1678025642
485	0.1675411263
486	0.1673092798
487	0.1671187794
488	0.1668598656
489	0.1665811948
490	0.1662764144
491	0.1662203684
492	0.1661055656
493	0.1657825508
494	0.1657355961
495	0.1656693997
496	0.165636262
497	0.1653271468
498	0.1650869323
499	0.1648896014
500	0.1645441148
501	0.1644365822
502	0.164190029
503	0.164094635
504	0.1637542583
505	0.1635311103
506	0.1634893032
507	0.1633207227
508	0.16319422
509	0.1629534048
510	0.1627076519
511	0.1625769043
512	0.1623717617
513	0.1621707657
514	0.1619994524
515	0.1619688629
516	0.1618038677
517	0.1616542945
518	0.1616351441
519	0.1614417327
520	0.1610702961
521	0.1609159171
522	0.1607252544
523	0.1606242871
524	0.1602258568
525	0.1599103579
526	0.159653534
527	0.1593775116
528	0.1593396695
529	0.1593022606
530	0.1591565547
531	0.1589541994
532	0.158737681
533	0.1585385368
534	0.1585027742
535	0.1582670373
536	0.1581205989
537	0.1578147919
538	0.1575494611
539	0.1573120751
540	0.1571297926
541	0.1571102565
542	0.1568600492
543	0.1568428505
544	0.1567090647
545	0.1563968753
546	0.1561646135
547	0.1561231689
548	0.1560861654
549	0.156058033
550	0.1558282877
551	0.1557168143
552	0.1555347504
553	0.1554821182
554	0.1553219707
555	0.1552677105
556	0.1550302803
557	0.1548415374
558	0.1546089577
559	0.1543975983
560	0.1542810157
561	0.153957257
562	0.1537446137
563	0.1535186546
564	0.1533422508
565	0.1531752362
566	0.1528458253
567	0.1525964234
568	0.1524442226
569	0.1522274021
570	0.1520119288
571	0.1518202835
572	0.151791189
573	0.1514687593
574	0.1511318988
575	0.1509772723
576	0.1507558706
577	0.1504635004
578	0.1502436556
579	0.1500245306
580	0.1498543873
581	0.1495518618
582	0.1493614092
583	0.1491529307
584	0.1490547234
585	0.149031104
586	0.1490049221
587	0.1487136328
588	0.1483980754
589	0.1481200867
590	0.1478157509
591	0.1475994681
592	0.1473717968
593	0.1473480301
594	0.1470806558
595	0.1468868958
596	0.1467287057
597	0.1466589459
598	0.1463660404
599	0.146236397
600	0.1460446634
601	0.1460264352
602	0.1458643227
603	0.1456644724
604	0.1453356988
605	0.1451797191
606	0.1451509669
607	0.1449672866
608	0.1448273613
609	0.144485153
610	0.1442664746
611	0.1440412703
612	0.1438987742
613	0.1438513576
614	0.1435312415
615	0.1433001687
616	0.1430365055
617	0.1429022342
618	0.1426600063
619	0.1424938177
620	0.1423443872
621	0.1421630137
622	0.1421207918
623	0.1419643757
624	0.1418098254
625	0.1416101041
626	0.1412996992
627	0.141252416
628	0.1410742024
629	0.1409146669
630	0.1405978306
631	0.1404536953
632	0.1402262407
633	0.1402072504
634	0.140129718
635	0.1400825188
636	0.1398284537
637	0.1397880114
638	0.139745223
639	0.1394479561
640	0.139252266
641	0.1391735067
642	0.1389068274
643	0.13888091
644	0.1386835697
645	0.1384290293
646	0.1381920186
647	0.1381741364
648	0.1380164869
649	0.1380013681
650	0.1378817786
651	0.1377453419
652	0.1375461342
653	0.1373144044
654	0.1371238895
655	0.1369403367
656	0.136879361
657	0.1366617038
658	0.1364919396
659	0.1361510082
660	0.1360798802
661	0.1359168461
662	0.1358972175
663	0.1357853044
664	0.1356055531
665	0.1354648652
666	0.1352874169
667	0.1350936884
668	0.1349509267
669	0.1348083345
670	0.1347208806
671	0.1346762545
672	0.1344857136
673	0.1343038822
674	0.1342328129
675	0.1339840392
676	0.1337839124
677	0.1335933922
678	0.1333685556
679	0.1332604903
680	0.1331467201
681	0.1328928428
682	0.1326726596
683	0.1324242818
684	0.1323080648
685	0.1322400344
686	0.1320144147
687	0.1318200739
688	0.1317406636
689	0.1315648848
690	0.1314841247
691	0.1313211777
692	0.1311208072
693	0.1309985988
694	0.1309815564
695	0.1307467151
696	0.1305732644
697	0.1305102196
698	0.1303196611
699	0.1302045052
700	0.1300541634
701	0.130003893
702	0.1299606095
703	0.1297850284
704	0.1296545325
705	0.1296338524
706	0.1295743129
707	0.1294433166
708	0.1293200606
709	0.1292823221
710	0.1291195197
711	0.1290911137
712	0.1289489612
713	0.1287633519
714	0.1286047986
715	0.1285152649
716	0.1282526053
717	0.1280821312
718	0.1280690187
719	0.1278686106
720	0.127698715
721	0.1275551007
722	0.1273580431
723	0.1271726746
724	0.1270379488
725	0.1269730154
726	0.1268310764
727	0.1267244146
728	0.1265739187
729	0.1265157202
730	0.1264341618
731	0.1262101021
732	0.1259886313
733	0.1259620307
734	0.1257905291
735	0.1256729387
736	0.1255957968
737	0.1255364339
738	0.1253074166
739	0.1250773523
740	0.1249597603
741	0.1247737597
742	0.1247012059
743	0.1244848056
744	0.1244632496
745	0.1243471016
746	0.1242560159
747	0.1240100075
748	0.1238996645
749	0.1236148065
750	0.1234489085
751	0.1232415033
752	0.1231299031
753	0.1230015753
754	0.1229528154
755	0.122831013
756	0.1227597596
757	0.1226521228
758	0.1225279063
759	0.1224720487
760	0.1224266068
761	0.1223862316
762	0.1221733212
763	0.1220047414
764	0.1218080983
765	0.1215456418
766	0.1214045482
767	0.1212248875
768	0.1211595515
769	0.1209710861
770	0.1208369397
771	0.1207001996
772	0.1205339286
773	0.1204699719
774	0.1203713197
775	0.1203085971
776	0.1201635036
777	0.1200511146
778	0.1199099187
779	0.119788481
780	0.119533304
781	0.119326288
782	0.1190975429
783	0.1190234442
784	0.1189425088
785	0.1188196918
786	0.1185594099
787	0.1184298982
788	0.1183720458
789	0.118353739
790	0.1182576217
791	0.1180753338
792	0.1179680123
793	0.1179210602
794	0.1177434761
795	0.1176679126
796	0.117491406
797	0.1173217168
798	0.1171953001
799	0.1170471913
800	0.116869898
801	0.1166887977
802	0.1165324289
803	0.1164154661
804	0.116286995
805	0.1161871697
806	0.1160672599
807	0.1159158752
808	0.1157363339
809	0.1155648934
810	0.1155461877
811	0.1153797289
812	0.1151606342
813	0.1150244785
814	0.1149829347
815	0.1149102115
816	0.1147868444
817	0.1146055938
818	0.114486071
819	0.1143060725
820	0.1140554706
821	0.1139132234
822	0.1138898562
823	0.1136874923
824	0.1134451507
825	0.1133067197
826	0.1131649463
827	0.1129220635
828	0.112794919
829	0.1126349879
830	0.1125187116
831	0.1123212809
832	0.1121188522
833	0.1118937944
834	0.1117989574
835	0.1115785664
836	0.1113869394
837	0.1112338882
838	0.1111548163
839	0.1110350611
840	0.1109467186
841	0.1109197848
842	0.1108518535
843	0.1107219098
844	0.1104960476
845	0.1104615053
846	0.1102234329
847	0.1100710411
848	0.1099223721
849	0.1098207076
850	0.1096645703
851	0.1095189438
852	0.1093583755
853	0.1092001583
854	0.1090656391
855	0.10889881
856	0.1087712456
857	0.1086168273
858	0.1085059957
859	0.1083824896
860	0.1082375767
861	0.1081016029
862	0.1079805533
863	0.1078742775
864	0.1077393608
865	0.1075398721
866	0.1074006508
867	0.1071789921
868	0.1069891557
869	0.1068515238
870	0.1066568924
871	0.1064475392
872	0.1063146229
873	0.1060928414
874	0.1060059513
875	0.10593555
876	0.1057479049
877	0.1056653062
878	0.1055106258
879	0.1053578502
880	0.1052753094
881	0.1051183179
882	0.1049887222
883	0.1048360874
884	0.1047234659
885	0.1046000043
886	0.1045059752
887	0.1043964414
888	0.1042569841
889	0.1041219127
890	0.1040084591
891	0.10385536
892	0.1036720199
893	0.1034665979
894	0.1033233453
895	0.1031348879
896	0.1029656355
897	0.1027825839
898	0.1026596112
899	0.1025317677
900	0.1024710388
901	0.102306972
902	0.1021908577
903	0.1021539418
904	0.1019726149
905	0.1018672722
906	0.1017330808
907	0.1015344612
908	0.1015003252
909	0.1013219744
910	0.1011395781
911	0.1011214895
912	0.1009261007
913	0.1007844496
914	0.1006683506
915	0.1005532041
916	0.1004661494
917	0.1003578781
918	0.100268098
919	0.1001480886
920	0.09996436103
921	0.09987645956
922	0.0997498928
923	0.0996870225
924	0.09954329556
925	0.09940219953
926	0.09923763573
927	0.09914012803
928	0.09899068361
929	0.09888876882
930	0.09873704391
931	0.09855321566
932	0.0983995704
933	0.09828940513
934	0.09822210372
935	0.09813240228
936	0.09803274161
937	0.09793320099
938	0.09780752625
939	0.09759248556
940	0.09751328903
941	0.09735015086
942	0.0972291274
943	0.09700858422
944	0.0969417087
945	0.09686039504
946	0.09669272396
947	0.09652445326
948	0.09641405766
949	0.09624225145
950	0.09612521914
951	0.0960514873
952	0.09595360288
953	0.09586590729
954	0.09583439173
955	0.09573995466
956	0.09562460844
957	0.0954962878
958	0.09538203977
959	0.09527118807
960	0.09512396442
961	0.09508127794
962	0.09500975395
963	0.09480542034
964	0.09467272325
965	0.09460301046
966	0.09442944247
967	0.09430410333
968	0.09422334456
969	0.09415711348
970	0.094053132
971	0.09392940983
972	0.09379901538
973	0.0937292197
974	0.09362589948
975	0.09354255735
976	0.09339366238
977	0.09334235837
978	0.09323290676
979	0.09314112854
980	0.09305490862
981	0.09285869711
982	0.09273395866
983	0.09263471634
984	0.09248960267
985	0.09243548584
986	0.09222975575
987	0.09212679989
988	0.09193184197
989	0.09175296753
990	0.09161898189
991	0.09154302314
992	0.09145284682
993	0.09130056372
994	0.09121651911
995	0.09105982279
996	0.09096333606
997	0.0908990614
998	0.09084579118
999	0.09079966489
